PDB_ID,CHAIN,SEQ_ID,CAMEO_TARGET_ID,SEQ_URL,PDB_URL,SUBMISSION_DATE,DIFFICULTY,QUATERNARY_STATE,MONOMERIC_MODEL_COUNT,REF_PDB,SEQ_LENGTH,METHOD,RESOLUTION
7FAC,A,7FAC_A,2022-08-06_00000005_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7FAC_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7FAC_A/target.pdb,8/6/22,1,0,53,7fac [A],529,X-RAY DIFFRACTION,2.71
7PC1,A,7PC1_A,2022-08-06_00000042_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7PC1_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7PC1_A/target.pdb,8/6/22,1,0,50,7pc1 [A],72,X-RAY DIFFRACTION,1.9
7PCE,A,7PCE_A,2022-08-06_00000044_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7PCE_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7PCE_A/target.pdb,8/6/22,0,2,55,7pce [A],358,X-RAY DIFFRACTION,2.9
7R0O,B,7R0O_B,2022-08-06_00000067_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7R0O_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7R0O_B/target.pdb,8/6/22,0,0,52,7r0o [B],360,X-RAY DIFFRACTION,2
7RPN,A,7RPN_A,2022-08-06_00000076_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7RPN_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7RPN_A/target.pdb,8/6/22,0,2,53,7rpn [A],252,X-RAY DIFFRACTION,1.37
7SBD,H,7SBD_H,2022-08-06_00000081_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7SBD_H/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7SBD_H/target.pdb,8/6/22,0,1,49,7sbd [H],209,X-RAY DIFFRACTION,3.04
7UQV,D,7UQV_D,2022-08-06_00000115_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7UQV_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7UQV_D/target.pdb,8/6/22,0,2,51,7uqv [D],275,X-RAY DIFFRACTION,2.4
7V2S,B,7V2S_B,2022-08-06_00000131_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7V2S_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7V2S_B/target.pdb,8/6/22,1,2,55,7v2s [B],287,X-RAY DIFFRACTION,2.133
7WUA,A,7WUA_A,2022-08-06_00000168_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7WUA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7WUA_A/target.pdb,8/6/22,0,0,53,7wua [A],604,X-RAY DIFFRACTION,1.999
7X1K,A,7X1K_A,2022-08-06_00000179_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7X1K_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7X1K_A/target.pdb,8/6/22,0,2,50,7x1k [A],76,X-RAY DIFFRACTION,2.39
7Y39,B,7Y39_B,2022-08-06_00000196_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7Y39_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7Y39_B/target.pdb,8/6/22,1,0,49,7y39 [B],139,X-RAY DIFFRACTION,1.88
7ZVA,A,7ZVA_A,2022-08-06_00000220_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/7ZVA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/7ZVA_A/target.pdb,8/6/22,2,0,48,7zva [A],389,X-RAY DIFFRACTION,1.8
8A4A,A,8A4A_A,2022-08-06_00000229_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/8A4A_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/8A4A_A/target.pdb,8/6/22,2,1,52,8a4a [A],238,X-RAY DIFFRACTION,2.52
8DT0,A,8DT0_A,2022-08-06_00000241_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/8DT0_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/8DT0_A/target.pdb,8/6/22,1,0,54,8dt0 [A],140,X-RAY DIFFRACTION,2.46
8DT6,C,8DT6_C,2022-08-06_00000242_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/8DT6_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/8DT6_C/target.pdb,8/6/22,0,2,52,8dt6 [C],384,X-RAY DIFFRACTION,2.35
8DTE,A,8DTE_A,2022-08-06_00000244_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-08-06/8DTE_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.08.06/8DTE_A/target.pdb,8/6/22,1,0,53,8dte [A],183,X-RAY DIFFRACTION,2.2
7DZ2,C,7DZ2_C,2022-07-30_00000001_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7DZ2_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7DZ2_C/target.pdb,7/30/22,0,2,54,7dz2 [C],286,X-RAY DIFFRACTION,1.55
7FGB,A,7FGB_A,2022-07-30_00000009_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7FGB_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7FGB_A/target.pdb,7/30/22,0,2,52,7fgb [A],489,X-RAY DIFFRACTION,2
7FH0,B,7FH0_B,2022-07-30_00000015_2,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7FH0_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7FH0_B/target.pdb,7/30/22,1,1,54,7fh0 [B],261,X-RAY DIFFRACTION,3.2
7LT7,A,7LT7_A,2022-07-30_00000020_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7LT7_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7LT7_A/target.pdb,7/30/22,2,0,50,7lt7 [A],35,SOLUTION NMR,0
7LX4,A,7LX4_A,2022-07-30_00000021_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7LX4_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7LX4_A/target.pdb,7/30/22,2,0,52,7lx4 [A],41,SOLUTION NMR,0
